City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Arraial Do Cabo,BR,-22.9661,-42.0278,65.03,76,3,0.54,clear sky
329,Traverse City,US,44.7631,-85.6206,71.83,85,100,3.44,overcast clouds
330,Villazon,BO,-22.0866,-65.5942,40.68,22,89,8.23,overcast clouds
331,Caraquet,CA,47.7941,-64.9386,48.06,67,16,6.46,few clouds
332,Tocopilla,CL,-22.092,-70.1979,60.1,70,16,6.46,few clouds
333,Rotifunk,SL,8.2333,-12.6833,70.68,98,67,2.68,broken clouds
334,Kalaleh,IR,37.3807,55.4916,87.64,23,0,3.4,clear sky
335,Pontal Do Parana,BR,-25.6533,-48.5128,57.33,94,4,3.53,clear sky
336,Shingu,JP,33.7333,135.9833,79.25,93,100,20.83,light rain
337,Fortuna,US,40.5982,-124.1573,58.93,91,98,4.0,overcast clouds
338,Neulengbach,AT,48.1974,15.9022,51.78,89,98,15.99,overcast clouds
339,Fairbanks,US,64.8378,-147.7164,48.31,76,20,3.44,few clouds
340,Aklavik,CA,68.2191,-135.0107,47.05,70,96,5.82,overcast clouds
341,Butte,US,39.6499,-121.5677,62.62,74,100,9.22,overcast clouds
342,Barra,BR,-11.0894,-43.1417,73.98,66,14,10.69,few clouds
343,Marsa Matruh,EG,31.3525,27.2453,76.66,83,0,10.25,clear sky
344,Laguna,US,38.421,-121.4238,66.34,76,100,11.5,overcast clouds
345,Trincomalee,LK,8.5711,81.2335,87.55,60,100,14.18,overcast clouds
346,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,92,94,4.81,overcast clouds
347,Northam,GB,51.0333,-4.2167,50.27,84,0,1.72,clear sky
348,Acapulco,MX,16.8634,-99.8901,80.42,78,100,6.91,overcast clouds
349,Tazovskiy,RU,67.4667,78.7,44.29,95,100,10.78,light rain
350,Harper,LR,4.375,-7.7169,75.79,86,81,7.61,broken clouds
351,Lahij,YE,13.1667,44.5833,87.55,53,22,4.05,few clouds
352,Pontiac,US,42.6389,-83.2911,74.1,80,0,4.61,clear sky
353,Tiznit,MA,29.5833,-9.5,62.87,81,0,0.78,clear sky
354,Adrar,MR,20.5022,-10.0711,82.36,31,25,9.44,scattered clouds
355,Hun,LY,29.1268,15.9477,78.67,26,0,8.68,clear sky
356,Puerto Carreno,CO,6.189,-67.4859,75.07,94,100,9.04,overcast clouds
357,Mogapi,BW,-22.323,27.8349,67.01,27,0,5.91,clear sky
358,Chicama,PE,-7.8447,-79.1469,57.74,89,91,6.85,overcast clouds
359,Asau,RO,46.4333,26.4,49.28,70,44,7.52,scattered clouds
360,Whitianga,NZ,-36.8333,175.7,59.16,93,100,15.73,moderate rain
361,Kamiiso,JP,41.8167,140.65,72.68,92,100,2.8,moderate rain
362,Arcata,US,40.8665,-124.0828,59.94,92,20,3.44,few clouds
363,Lucea,JM,18.451,-78.1736,79.86,79,10,8.66,clear sky
364,Havoysund,NO,70.9963,24.6622,44.83,81,100,18.12,overcast clouds
365,Vuktyl,RU,63.8567,57.3094,49.19,83,32,6.55,scattered clouds
